iso_num,country,year,avg_temp_absolute,avg_temp_change
242,Fiji,1850,25.00530751546224,
242,Fiji,1851,25.76587422688802,0.7605667114257812
242,Fiji,1852,25.897811889648438,0.13193766276041785
242,Fiji,1853,25.687965393066406,-0.20984649658203125
242,Fiji,1854,26.064969380696613,0.37700398763020715
242,Fiji,1855,26.204884847005207,0.13991546630859375
242,Fiji,1856,26.05340067545573,-0.1514841715494768
242,Fiji,1857,25.904558817545574,-0.14884185791015625
242,Fiji,1858,26.136690775553387,0.2321319580078125
242,Fiji,1859,25.968856811523438,-0.1678339640299491
242,Fiji,1860,25.85572052001953,-0.11313629150390625
242,Fiji,1861,26.395487467447918,0.5397669474283866
242,Fiji,1862,25.80357615152995,-0.5919113159179688
242,Fiji,1863,25.307083129882812,-0.4964930216471366
242,Fiji,1864,26.190264383951824,0.8831812540690116
242,Fiji,1865,26.2616704305013,0.0714060465494768
242,Fiji,1866,25.742332458496094,-0.5193379720052071
242,Fiji,1867,26.298548380533855,0.5562159220377616
242,Fiji,1868,25.380584716796875,-0.9179636637369804
242,Fiji,1869,25.85448710123698,0.47390238444010535
242,Fiji,1870,26.240142822265625,0.38565572102864465
242,Fiji,1871,26.04944356282552,-0.19069925944010535
242,Fiji,1872,25.06867218017578,-0.9807713826497384
242,Fiji,1873,25.12085215250651,0.05217997233073035
242,Fiji,1874,26.591796875,1.4709447224934884
242,Fiji,1875,25.99586232503255,-0.5959345499674491
242,Fiji,1876,26.08837890625,0.0925165812174491
242,Fiji,1877,25.915150960286457,-0.17322794596354285
242,Fiji,1878,26.139734903971355,0.2245839436848982
242,Fiji,1879,25.58588409423828,-0.5538508097330741
242,Fiji,1880,25.71007537841797,0.1241912841796875
242,Fiji,1881,26.141916910807293,0.4318415323893241
242,Fiji,1882,26.2531000773112,0.11118316650390625
242,Fiji,1883,25.8995844523112,-0.353515625
242,Fiji,1884,25.94335174560547,0.04376729329426965
242,Fiji,1885,25.700887044270832,-0.2424647013346366
242,Fiji,1886,26.034955342610676,0.33406829833984375
242,Fiji,1887,25.685638427734375,-0.3493169148763009
242,Fiji,1888,26.157981872558594,0.47234344482421875
242,Fiji,1889,26.28582000732422,0.127838134765625
242,Fiji,1890,26.125656127929688,-0.16016387939453125
242,Fiji,1891,25.514060974121094,-0.6115951538085938
242,Fiji,1892,25.948415120442707,0.4343541463216134
242,Fiji,1893,26.16174825032552,0.2133331298828125
242,Fiji,1894,25.921000162760418,-0.2407480875651018
242,Fiji,1895,25.681543986002605,-0.2394561767578125
242,Fiji,1896,26.062998453776043,0.3814544677734375
242,Fiji,1897,26.510528564453125,0.44753011067708215
242,Fiji,1898,25.993759155273438,-0.5167694091796875
242,Fiji,1899,26.228429158528645,0.23467000325520715
242,Fiji,1900,26.15113576253255,-0.07729339599609375
242,Fiji,1901,25.834368387858074,-0.3167673746744768
242,Fiji,1902,25.63470967610677,-0.19965871175130445
242,Fiji,1903,25.971435546875,0.33672587076823035
242,Fiji,1904,26.09137217203776,0.1199366251627616
242,Fiji,1905,26.172943115234375,0.0815709431966134
