iso_num,country,avg_temp_absolute,avg_temp_change
242,Fiji,27.081614176432293,0.9082845052083357
834,Tanzania,23.656693324448643,-0.5757309039802507
732,W. Sahara,26.12536952482628,-0.04474841779065741
124,Canada,-2.35496032486815,-1.413024723485012
840,United States of America,12.235718223401207,0.053220208892902576
398,Kazakhstan,10.130974347686534,0.5984184366478509
860,Uzbekistan,15.268186648587474,0.022887652554951288
598,Papua New Guinea,25.11508960711988,-0.21765314376900236
360,Indonesia,26.648453307049333,-0.2909837390486487
032,Argentina,16.362077609387143,-0.23475678656221888
152,Chile,10.356348799804653,-0.7129168732017401
180,Dem. Rep. Congo,24.428934168719866,-0.7261788090132484
706,Somalia,27.893354955359843,-0.9493936057917658
404,Kenya,26.203633730563638,-0.2021922144553976
729,Sudan,27.97694627060456,-0.3713356851347669
148,Chad,27.11956181717166,-0.6718984079839245
332,Haiti,27.970311318366132,-0.47675143414680576
212,Dominican Rep.,26.143382250944494,-0.5619714189539025
643,Russia,-1.129462321780772,0.8553280840406847
044,Bahamas,25.255879720052082,-0.007985432942710702
238,Falkland Is.,7.280707041422526,-0.4272753397623692
578,Norway,1.7844121104479778,0.6674902831796312
304,Greenland,-18.41205075177017,-1.9836586556119329
260,Fr. S. Antarctic Lands,5.828515370686849,-0.2997919718424482
626,Timor-Leste,28.197481791178387,-0.330384572347004
710,South Africa,17.966883117030697,-1.065215003040354
426,Lesotho,12.096986134847006,-0.9873466491699219
484,Mexico,22.143461555496504,0.22631155841317607
858,Uruguay,19.015709768731764,0.35419438186511343
076,Brazil,25.629698124275237,-0.83369020628081
068,Bolivia,22.201154040346463,-1.3704801226370265
604,Peru,20.171187934543795,-1.262567753656544
170,Colombia,24.320768345876147,-1.1557791247019829
591,Panama,26.113564513996465,-0.8801345944477141
188,Costa Rica,25.47649727907292,-0.9958341175747734
558,Nicaragua,25.43750474835991,-1.1887831007276084
340,Honduras,24.001876116146548,-1.2359297698482123
222,El Salvador,26.442426045735676,-0.48066457112630445
320,Guatemala,23.068915150179745,-1.098525660651255
084,Belize,25.37413510754818,-1.0686059798861791
862,Venezuela,25.876654583795553,-1.2601643573413028
328,Guyana,25.741210551911422,-1.196830847348597
740,Suriname,26.666091747206334,-1.58119125902261
250,France,14.960243405756836,0.1833747709033311
218,Ecuador,21.163924184267618,-1.2349718969046606
630,Puerto Rico,26.466766357421875,-0.5932439168294259
388,Jamaica,27.337448120117188,-0.4487584431966134
192,Cuba,27.112668918406985,-0.28503100005678306
716,Zimbabwe,23.156043221962474,-0.5293618481473032
072,Botswana,23.3447009852098,-1.1335264397251095
516,Namibia,23.327994849119445,-1.305232385551804
686,Senegal,29.676118255906044,-0.5342593320046944
466,Mali,28.454432992030245,-0.5247979996789844
478,Mauritania,27.80404777619691,-0.4059680839911799
204,Benin,28.3541428465966,-1.0474761103170813
562,Niger,26.83330416223886,-0.1507813836815579
566,Nigeria,27.40153960569749,-0.9255845948006716
120,Cameroon,24.767214189990764,-0.934567745412572
768,Togo,28.449313907142976,-1.0596000554460119
288,Ghana,28.47288683209477,-1.0530132664495042
384,Côte d'Ivoire,27.26139956187295,-0.8363597464140895
324,Guinea,27.376635485150885,-0.8382021940498028
624,Guinea-Bissau,28.932549794514973,-0.38702138264974195
430,Liberia,25.58225538044921,-0.8754684751187938
694,Sierra Leone,26.765915804901237,-0.737901726808893
854,Burkina Faso,28.813479930818243,-1.0007929329660854
140,Central African Rep.,26.447126221001415,-0.8187244368160194
178,Congo,24.966746341258,-0.8673543686452092
266,Gabon,24.58096217830042,-0.8849243551755315
226,Eq. Guinea,24.405527750651043,-0.8992551167805978
894,Zambia,23.55104613130661,-0.38419102321298837
454,Malawi,24.339781246317852,-0.3534896104234164
508,Mozambique,25.939004354964506,-0.4112848858584286
748,eSwatini,18.6989328819302,-0.5236968011772021
024,Angola,24.007499952885894,-0.6457741769381791
108,Burundi,21.45849863688151,-0.531527201334633
376,Israel,20.382673872907557,-0.08977044683617308
422,Lebanon,18.8093999226888,-0.0007731119791678509
450,Madagascar,23.620245611508214,-0.544044619054624
275,Palestine,20.42968241373698,-0.0215301513671875
270,Gambia,30.14879608154297,-0.5267842610677071
788,Tunisia,20.52902768483938,0.2306916725577004
012,Algeria,22.870392077507024,-0.21898360315562826
400,Jordan,19.757614760475388,-0.05742939448293072
784,United Arab Emirates,28.814360334543448,0.34176761937835565
634,Qatar,27.677612741659953,0.04651018981958188
414,Kuwait,27.17242177327474,0.09819793701171875
368,Iraq,22.98786476938599,0.06141631916275614
512,Oman,28.9151943911741,-0.29651750480489625
548,Vanuatu,26.939226786295574,0.8025232950846366
116,Cambodia,26.363634597992057,-0.7538672821565839
764,Thailand,25.913831843566893,-0.8732118422366852
418,Laos,22.464421953160667,-0.9660390896800344
104,Myanmar,24.190790038641023,-0.6159709788441532
704,Vietnam,23.585557907989017,-0.6917221326329326
408,North Korea,8.447747705437523,0.7435993221998602
410,South Korea,13.33921641958215,0.5941663630098954
496,Mongolia,2.945734351760701,0.24906875038309284
356,India,25.34326065385166,-0.8556688480573129
050,Bangladesh,27.177653236366467,-0.709734387212972
064,Bhutan,12.371086240861066,-0.07434977933243658
524,Nepal,14.242182235865569,-0.18043808787572502
586,Pakistan,22.62301235063829,0.3304989936503553
004,Afghanistan,14.50180193316442,0.6638531114171009
762,Tajikistan,3.2632315603350386,0.7876263758559103
417,Kyrgyzstan,5.245442126275749,0.6013785186265661
795,Turkmenistan,17.959366254683605,0.030617372227119688
364,Iran,18.853585912839957,0.27629733373086296
760,Syria,19.70616668680928,0.055213227601498716
051,Armenia,9.72114760742152,0.1749039257153413
752,Sweden,5.650739020850665,0.8325463084608531
112,Belarus,9.616591716777497,-0.11770397715211978
804,Ukraine,12.372916690406784,0.5326091065009866
616,Poland,11.081788033518711,0.4169933307333409
040,Austria,9.522639987946375,0.4010972877474419
348,Hungary,14.310499814838051,0.8336173589920932
498,Moldova,13.682158469065648,0.7516223643047457
642,Romania,13.272133020297032,0.8248312628829506
440,Lithuania,9.581791376010589,-0.0404030370679056
428,Latvia,8.867023337061129,-0.07585694674935439
233,Estonia,8.495584820629464,0.20526549991362586
276,Germany,11.152652259488937,0.5035251357278963
100,Bulgaria,15.261766451538401,0.6311895660850624
300,Greece,17.859800503457606,0.46829533220259734
792,Turkey,13.567050742354105,0.30440869475626364
008,Albania,16.007798532542996,0.613837810849061
191,Croatia,15.327159378548837,0.8102519421980112
756,Switzerland,8.25258505008817,0.3262037173475907
056,Belgium,12.653956238340193,0.6044970410775932
528,Netherlands,12.701238154465045,0.6023262726273373
620,Portugal,18.578429008409174,0.19855255776478486
724,Spain,15.41128492302928,-0.10145934550600089
372,Ireland,12.279124114331156,-0.15613406177460476
540,New Caledonia,24.40603205097921,0.42992087001184487
554,New Zealand,13.111475292837651,0.41122187550026545
036,Australia,22.616137760716228,-0.6041104936749271
144,Sri Lanka,27.487541872496905,-0.8974863205187518
156,China,8.916122000135925,0.5549788573293011
158,Taiwan,22.4894597624855,-0.5147157824293167
380,Italy,15.334634078442313,0.5685502507658082
208,Denmark,11.429982323630623,0.6947802245913763
826,United Kingdom,11.692115450118033,0.29237395128399335
352,Iceland,2.2709995882940985,-0.2129440916139118
031,Azerbaijan,14.217939612691227,0.29774692121220525
268,Georgia,10.36456214400278,0.25811462685386566
608,Philippines,27.64711898650513,-0.12819836988698086
458,Malaysia,26.630603122224723,-0.4530771334877741
705,Slovenia,12.587992762190632,0.5278318374424487
246,Finland,4.882616657325661,1.1510778038177407
703,Slovakia,11.624491272197332,0.6617253647607342
203,Czechia,10.659712161771044,0.4743529401784894
232,Eritrea,28.25309848967264,-0.24597270655012693
392,Japan,13.878345857005002,0.9736953974857538
600,Paraguay,27.49920679266667,-0.904262671519465
887,Yemen,26.502915103173525,-0.6203970885044434
682,Saudi Arabia,25.662969846350652,-0.03797157108878224
010,Antarctica,-35.715248845713575,0.5988326373013635
196,N. Cyprus,20.77893575032552,0.0959294637044259
504,Morocco,21.8683409139332,0.008626648822346539
818,Egypt,23.20321628878341,0.04254312610028066
434,Libya,21.479564375117388,-0.039198796781882095
231,Ethiopia,24.180627302069638,-0.41015196053070113
262,Djibouti,30.171780904134113,-0.8862253824869804
706,Somaliland,26.00062487650969,-0.8728935269839404
800,Uganda,24.184683065413722,-0.5040374003057302
646,Rwanda,20.779309225277157,-0.7202091275837041
796,Bosnia and Herz.,13.629990856574084,0.7597290598171398
807,North Macedonia,13.183021700908741,0.5006996942375608
688,Serbia,14.139301562451436,0.6828468812918427
499,Montenegro,13.293813069661459,0.7739156087239589
,Kosovo,12.520057678222656,0.5702336629231777
780,Trinidad and Tobago,26.985209147135418,-0.776461283365883
728,S. Sudan,28.830567568780783,-0.3903920808933279
